Benchmark,Prompt Type,Subdirectory,Line Count
Cube_Rotation,Spec_template,2024-05-19T00:58:47.351529,7
Cube_Rotation,Spec_template,2024-05-18T00:19:31.453285,7
Cube_Rotation,Spec_template,2024-05-17T13:20:24.595399,7
Cube_Rotation,Spec_template,2024-05-18T00:22:44.646183,7
Cube_Rotation,Spec_template,2024-05-19T00:47:02.420159,7
Cube_Rotation,Spec_template,2024-05-18T00:20:10.899599,7
Cube_Rotation,Spec_template,2024-05-19T00:58:07.647389,7
Cube_Rotation,Spec_template,2024-05-18T00:24:48.697888,7
Cube_Rotation,Spec_template,2024-05-18T00:23:05.637298,7
Cube_Rotation,Spec_template,2024-05-19T00:56:05.545288,7
Cube_Rotation,Spec_template,2024-05-19T00:52:51.343137,7
Cube_Rotation,Spec_template,2024-05-19T00:50:38.326497,7
Cube_Rotation,Spec_template,2024-05-17T14:24:25.028664,7
Cube_Rotation,Spec_template,2024-05-18T00:23:23.238362,7
Cube_Rotation,Spec_template,2024-05-18T00:23:53.987260,7
Cube_Rotation,Spec_template,2024-05-19T00:56:46.022672,7
Cube_Rotation,Spec_template,2024-05-18T00:22:26.722610,7
Cube_Rotation,Spec_template,2024-05-18T00:24:15.278414,7
Cube_Rotation,Spec_template,2024-05-19T00:54:39.931302,7
Cube_Rotation,Spec_template,2024-05-19T00:59:32.741882,7
Cube_Rotation,Spec_template,2024-05-19T00:45:47.095224,7
Cube_Rotation,Spec_template,2024-05-18T00:19:07.450415,7
Cube_Rotation,Spec_template,2024-05-17T14:53:43.065320,7
Cube_Rotation,Spec_template,2024-05-19T00:49:15.019356,7
Cube_Rotation,Spec_template,2024-05-17T13:36:51.522406,7
Cube_Rotation,Spec_template,2024-05-18T00:25:37.684194,7
Cube_Rotation,Spec_template,2024-05-19T00:51:19.335088,7
Cube_Rotation,Spec_template,2024-05-17T13:53:18.239250,7
Cube_Rotation,Spec_template,2024-05-19T00:57:29.048108,7
Cube_Rotation,Spec_template,2024-05-18T00:22:03.655417,7
Cube_Rotation,Spec_template,2024-05-19T00:49:57.442992,7
Cube_Rotation,Spec_template,2024-05-18T00:20:30.693585,7
Cube_Rotation,Spec_template,2024-05-18T00:25:54.828416,7
Cube_Rotation,Spec_template,2024-05-19T00:53:34.496231,7
Cube_Rotation,Spec_template,2024-05-18T00:19:49.992529,7
Cube_Rotation,Spec_template,2024-05-19T00:46:24.479483,7
Cube_Rotation,Spec_template,2024-05-18T00:20:49.987166,7
Cube_Rotation,Spec_template,2024-05-18T00:21:36.056560,7
Cube_Rotation,Spec_template,2024-05-18T00:24:31.435581,7
Cube_Rotation,Spec_template,2024-05-19T00:48:21.818448,7
Cube_Rotation,Spec_template,2024-05-07T23:15:10.605956,7
Cube_Rotation,Spec_template,2024-05-17T14:08:01.442584,7
Cube_Rotation,Spec_template,2024-05-17T13:05:43.504297,7
Cube_Rotation,Spec_template,2024-05-19T00:55:16.178792,7
Cube_Rotation,No_tsl,2024-08-14T12:25:09.310710,25
Cube_Rotation,No_tsl,2024-08-14T12:17:22.880021,37
Cube_and_Polygon,Spec_template,2024-05-18T00:48:15.279403,11
Cube_and_Polygon,Spec_template,2024-05-18T00:50:17.407705,11
Cube_and_Polygon,Spec_template,2024-05-18T00:46:47.056977,11
Cube_and_Polygon,Spec_template,2024-05-18T00:47:54.475115,11
Cube_and_Polygon,Spec_template,2024-05-18T00:52:03.879306,11
Cube_and_Polygon,Spec_template,2024-05-18T00:49:42.261529,11
Cube_and_Polygon,Spec_template,2024-05-17T13:07:27.044683,11
Cube_and_Polygon,Spec_template,2024-05-18T00:49:13.150237,11
Cube_and_Polygon,Spec_template,2024-05-18T00:50:57.460373,11
Cube_and_Polygon,Spec_template,2024-05-18T00:48:53.914004,11
Cube_and_Polygon,Spec_template,2024-05-17T13:22:04.019976,11
Cube_and_Polygon,Spec_template,2024-05-07T23:20:03.830144,11
Cube_and_Polygon,Spec_template,2024-05-17T14:40:47.275012,11
Cube_and_Polygon,Spec_template,2024-05-18T00:47:33.871289,11
Cube_and_Polygon,Spec_template,2024-05-17T13:55:03.543957,11
Cube_and_Polygon,Spec_template,2024-05-17T14:10:00.207355,11
Cube_and_Polygon,Spec_template,2024-05-18T00:51:47.944695,11
Cube_and_Polygon,Spec_template,2024-05-17T14:55:13.843847,11
Cube_and_Polygon,Spec_template,2024-05-18T00:45:38.763518,11
Cube_and_Polygon,Spec_template,2024-05-18T00:46:21.311907,11
Cube_and_Polygon,Spec_template,2024-05-18T00:48:34.465693,11
Cube_and_Polygon,Spec_template,2024-05-18T00:46:00.177435,11
Cube_and_Polygon,Spec_template,2024-05-17T14:25:57.750166,11
Cube_and_Polygon,Spec_template,2024-05-17T13:38:32.298593,11
Cube_and_Polygon,Spec_template,2024-05-18T00:51:26.324544,11
Cube_and_Polygon,Spec_template,2024-05-18T00:49:59.905771,11
Cube_and_Polygon,Spec_template,2024-05-18T00:50:38.298834,11
Cube_and_Polygon,Spec_template,2024-05-18T00:47:04.147089,11
Cube_and_Polygon,No_tsl,2024-08-14T12:25:37.570672,42
Cube_and_Polygon,No_tsl,2024-08-14T12:17:53.443126,43
GameOfLife,Spec_template,2024-05-14T15:38:38.496629,7
GameOfLife,Spec_template,2024-05-14T15:50:23.003902,7
GameOfLife,Spec_template,2024-05-14T15:30:34.014463,7
GameOfLife,Spec_template,2024-05-14T15:34:56.796931,7
GameOfLife,Spec_template,2024-05-14T15:40:52.311390,7
GameOfLife,Spec_template,2024-05-14T15:52:52.885759,7
GameOfLife,Spec_template,2024-05-14T15:46:05.072618,7
GameOfLife,Spec_template,2024-05-14T15:51:26.313051,7
GameOfLife,Spec_template,2024-05-14T15:39:40.330549,7
GameOfLife,Spec_template,2024-05-14T15:46:37.869028,7
GameOfLife,Spec_template,2024-05-17T13:08:38.063754,7
GameOfLife,Spec_template,2024-05-14T15:50:11.346168,7
GameOfLife,Spec_template,2024-05-14T15:39:50.360665,7
GameOfLife,Spec_template,2024-05-14T15:46:12.082594,7
GameOfLife,Spec_template,2024-05-14T15:52:44.418677,7
GameOfLife,Spec_template,2024-05-14T15:42:23.643388,7
GameOfLife,Spec_template,2024-05-14T15:43:15.901282,8
GameOfLife,Spec_template,2024-05-14T15:33:08.010522,7
GameOfLife,Spec_template,2024-05-14T15:49:26.181740,7
GameOfLife,Spec_template,2024-05-14T15:51:48.001894,7
GameOfLife,Spec_template,2024-05-14T15:35:14.111380,7
GameOfLife,Spec_template,2024-05-14T15:53:58.482267,7
GameOfLife,Spec_template,2024-05-14T15:40:00.598279,7
GameOfLife,Spec_template,2024-05-14T15:35:02.887455,7
GameOfLife,Spec_template,2024-05-14T15:48:58.307888,7
GameOfLife,Spec_template,2024-05-14T15:51:34.891176,7
GameOfLife,Spec_template,2024-05-14T15:44:16.310978,7
GameOfLife,Spec_template,2024-05-14T15:40:05.112055,7
GameOfLife,Spec_template,2024-05-14T15:38:16.777532,7
GameOfLife,Spec_template,2024-05-14T15:39:30.387352,7
GameOfLife,Spec_template,2024-05-14T15:37:06.458611,7
GameOfLife,Spec_template,2024-05-14T15:36:26.155159,7
GameOfLife,Spec_template,2024-05-14T15:53:53.751015,7
GameOfLife,Spec_template,2024-05-14T15:37:57.100377,7
GameOfLife,Spec_template,2024-05-17T14:41:56.205149,7
GameOfLife,Spec_template,2024-05-14T15:35:30.984808,7
GameOfLife,Spec_template,2024-05-14T15:32:06.516240,7
GameOfLife,Spec_template,2024-05-17T13:56:47.035009,7
GameOfLife,Spec_template,2024-05-14T15:47:37.079398,7
GameOfLife,Spec_template,2024-05-14T15:34:49.364657,7
GameOfLife,Spec_template,2024-05-14T15:29:41.176967,7
GameOfLife,Spec_template,2024-05-14T15:35:19.317880,7
GameOfLife,Spec_template,2024-05-14T15:34:02.954709,7
GameOfLife,Spec_template,2024-05-17T13:24:09.476156,7
GameOfLife,Spec_template,2024-05-14T15:45:23.591169,7
GameOfLife,Spec_template,2024-05-14T15:34:39.573511,7
GameOfLife,Spec_template,2024-05-14T15:45:51.438919,7
GameOfLife,Spec_template,2024-05-14T15:49:18.436254,7
